index,Date,HomeTeamId,AwayTeamId,HTR,FTR
6148,20/02/18,356.0,69.0,H,H
6149,21/02/18,387.0,63.0,D,D
6150,21/02/18,342.0,341.0,D,D
6151,21/02/18,349.0,715.0,D,A
6152,21/02/18,76.0,68.0,H,D
6153,23/02/18,322.0,356.0,D,H
6154,24/02/18,332.0,357.0,A,A
6155,24/02/18,63.0,76.0,H,H
6156,24/02/18,341.0,402.0,H,H
6157,24/02/18,1081.0,349.0,A,A
6158,24/02/18,69.0,351.0,A,A
6159,24/02/18,355.0,342.0,D,D
6160,24/02/18,345.0,58.0,H,A
6161,24/02/18,71.0,343.0,H,D
6162,25/02/18,715.0,387.0,D,H
6163,27/02/18,322.0,357.0,A,D
6164,27/02/18,355.0,356.0,A,A
6165,02/03/18,343.0,341.0,H,H
6166,03/03/18,387.0,345.0,H,H
6167,03/03/18,342.0,63.0,A,A
6168,03/03/18,384.0,71.0,A,D
6169,03/03/18,351.0,332.0,H,H
6170,06/03/18,332.0,343.0,A,A
6171,06/03/18,715.0,357.0,H,H
6172,06/03/18,63.0,356.0,H,H
6173,06/03/18,322.0,384.0,A,A
6174,06/03/18,68.0,351.0,D,D
6175,06/03/18,1081.0,387.0,H,H
6176,06/03/18,69.0,342.0,A,D
6177,06/03/18,345.0,349.0,D,A
6178,06/03/18,71.0,58.0,A,A
6179,07/03/18,341.0,76.0,A,A
6180,10/03/18,58.0,76.0,D,H
6181,10/03/18,715.0,332.0,H,H
6182,10/03/18,322.0,68.0,A,H
6183,10/03/18,349.0,356.0,D,D
6184,10/03/18,343.0,357.0,H,H
6185,10/03/18,384.0,402.0,H,H
6186,10/03/18,1081.0,63.0,D,A
6187,10/03/18,69.0,71.0,D,H
6188,10/03/18,355.0,341.0,D,D
6189,11/03/18,351.0,342.0,D,D
6190,13/03/18,58.0,69.0,A,A
6191,13/03/18,357.0,68.0,H,D
6192,13/03/18,402.0,715.0,A,A
6193,13/03/18,349.0,322.0,A,A
6194,13/03/18,76.0,355.0,H,H
6195,17/03/18,357.0,384.0,A,A
6196,17/03/18,332.0,322.0,H,H
6197,17/03/18,402.0,343.0,D,D
6198,17/03/18,387.0,349.0,D,H
6199,17/03/18,63.0,69.0,H,D
6200,17/03/18,341.0,345.0,D,A
6201,17/03/18,68.0,355.0,H,H
6202,17/03/18,356.0,351.0,D,D
6203,17/03/18,71.0,1081.0,D,A
6204,30/03/18,357.0,387.0,D,D
6205,30/03/18,402.0,356.0,D,D
6206,30/03/18,342.0,71.0,A,A
6207,30/03/18,343.0,76.0,A,A
6208,30/03/18,384.0,351.0,H,H
6209,30/03/18,68.0,63.0,D,A
6210,30/03/18,355.0,69.0,H,H
6211,30/03/18,345.0,1081.0,D,H
6212,31/03/18,332.0,349.0,H,H
6213,31/03/18,322.0,58.0,D,D
6214,02/04/18,387.0,402.0,D,A
6215,02/04/18,349.0,384.0,A,D
6216,02/04/18,1081.0,342.0,D,A
6217,02/04/18,69.0,68.0,D,H
6218,02/04/18,356.0,715.0,H,D
6219,02/04/18,71.0,345.0,D,A
6220,03/04/18,58.0,355.0,D,H
6221,03/04/18,63.0,341.0,H,H
6222,03/04/18,76.0,322.0,D,D
6223,06/04/18,715.0,76.0,D,A
6224,07/04/18,357.0,356.0,H,H
6225,07/04/18,402.0,349.0,D,H
6226,07/04/18,322.0,69.0,H,H
6227,07/04/18,341.0,71.0,D,D
6228,07/04/18,343.0,351.0,H,H
6229,07/04/18,384.0,387.0,H,H
6230,07/04/18,68.0,58.0,H,H
6231,07/04/18,355.0,1081.0,H,H
6232,07/04/18,345.0,63.0,D,A
6233,10/04/18,58.0,715.0,D,H
6234,10/04/18,387.0,332.0,H,H
6235,10/04/18,63.0,355.0,H,H
6236,10/04/18,349.0,357.0,D,H
6237,10/04/18,351.0,402.0,D,A
6238,10/04/18,1081.0,341.0,A,H
6239,10/04/18,69.0,345.0,H,H
6240,10/04/18,356.0,343.0,H,H
6241,10/04/18,71.0,68.0,D,D
6242,11/04/18,76.0,342.0,H,H
6243,13/04/18,58.0,341.0,H,H
6244,14/04/18,63.0,402.0,D,D
6245,14/04/18,322.0,345.0,A,A
6246,14/04/18,343.0,387.0,D,H
6247,14/04/18,68.0,715.0,D,A
6248,14/04/18,351.0,349.0,A,H
6249,14/04/18,69.0,1081.0,D,A
6250,14/04/18,355.0,71.0,H,D
6251,14/04/18,356.0,384.0,D,D
6252,15/04/18,76.0,332.0,H,H
6253,20/04/18,384.0,63.0,D,A
6254,21/04/18,332.0,356.0,D,H
6255,21/04/18,402.0,69.0,D,H
6256,21/04/18,387.0,322.0,H,D
6257,21/04/18,715.0,351.0,H,H
6258,21/04/18,342.0,343.0,A,A
6259,21/04/18,349.0,58.0,A,A
6260,21/04/18,341.0,357.0,D,H
6261,21/04/18,1081.0,68.0,D,D
6262,21/04/18,345.0,355.0,H,H
6263,24/04/18,342.0,715.0,A,H
6264,24/04/18,351.0,357.0,H,H
6265,27/04/18,63.0,71.0,D,H
6266,28/04/18,58.0,342.0,A,D
6267,28/04/18,357.0,402.0,H,H
6268,28/04/18,322.0,715.0,A,A
6269,28/04/18,343.0,384.0,H,H
6270,28/04/18,68.0,341.0,D,H
6271,28/04/18,351.0,387.0,D,D
6272,28/04/18,69.0,332.0,D,H
6273,28/04/18,355.0,349.0,D,A
6274,28/04/18,356.0,1081.0,D,A
6275,28/04/18,76.0,345.0,D,D
6276,06/05/18,332.0,63.0,H,H
6277,06/05/18,402.0,322.0,D,D
6278,06/05/18,387.0,356.0,A,A
6279,06/05/18,715.0,355.0,D,D
6280,06/05/18,342.0,357.0,H,H
6281,06/05/18,349.0,343.0,H,D
6282,06/05/18,341.0,69.0,H,H
6283,06/05/18,384.0,58.0,H,H
6284,06/05/18,345.0,68.0,H,H
6285,06/05/18,71.0,76.0,H,H
6286,13/08/16,328.0,72.0,D,A
6287,13/08/16,354.0,74.0,D,A
6288,13/08/16,62.0,73.0,H,D
6289,13/08/16,322.0,338.0,H,H
6290,13/08/16,65.0,71.0,H,H
6291,13/08/16,343.0,70.0,H,D
6292,13/08/16,340.0,346.0,A,D
